
fund_code,fund_name,market_value,holding_profit,holding_profit_rate,source
161127,易方达标普生物科技指数(QDII-LOF)A,139.48,9.48,7.29,alipay_screenshot
161128,易方达标普信息科技指数(QDII-LOF)A,161.71,31.71,24.39,alipay_screenshot
003972,国富美元债一年持有期债券(QDII)人民币,242.76,-7.24,-2.89,alipay_screenshot
018064,华夏标普500ETF联接(QDII)A,587.66,87.66,17.53,alipay_screenshot
539003,建信富时100指数(QDII)A,819.59,-0.41,-0.05,alipay_screenshot
006989,建信中短债纯债债券A,1000.63,0.63,0.06,alipay_screenshot
020712,华安三菱日联日经225ETF联接(QDII)A,1016.14,126.14,14.33,alipay_screenshot
161125,易方达标普500指数(QDII-LOF)A,1031.00,121.00,13.30,alipay_screenshot
050025,博时标普500ETF联接(QDII)A,1471.60,71.60,5.11,alipay_screenshot
007721,天弘标普500(QDII-FOF)A,1967.23,67.23,3.73,alipay_screenshot
006662,易方达安悦超短债债券A,2000.19,0.19,0.01,alipay_screenshot
040046,华安纳斯达克100ETF联接(QDII)A,2620.46,560.46,27.21,alipay_screenshot
006484,广发中债1-3年国开行债券指数A,2772.82,2.82,0.11,alipay_screenshot
006591,广发景明中短债债券A,3400.40,0.40,0.01,alipay_screenshot
003358,易方达中债7-10年期国开行债券指数A,3921.67,11.67,0.31,alipay_screenshot
019547,招商纳斯达克100ETF联接(QDII)A,4401.14,701.14,18.95,alipay_screenshot
161815,银华抗通胀主题(QDII-FOF-LOF)A,5930.65,-42.44,-0.71,alipay_screenshot
016452,南方纳斯达克100指数(QDII)A,6502.89,712.89,12.31,alipay_screenshot
018043,天弘纳斯达克100指数(QDII)A,6654.10,1304.10,24.38,alipay_screenshot
539001,建信纳斯达克100指数(QDII)A,6764.60,1044.00,18.26,alipay_screenshot
017641,摩根标普500指数(QDII)A,8344.90,580.90,7.68,alipay_screenshot
017091,景顺长城纳斯达克科技市值加权ETF联接(QDII)A,9482.13,2032.13,27.28,alipay_screenshot
008763,天弘越南市场股票(QDII)A,12635.58,117.58,0.95,alipay_screenshot
017894,汇添富纳斯达克生物科技ETF联接(QDII)A,13919.94,149.94,1.09,alipay_screenshot
096001,大成标普500等权重指数(QDII)A,15374.71,344.71,2.31,alipay_screenshot
000614,华安国际龙头(DAX)ETF联接(QDII)A,16849.86,143.86,0.86,alipay_screenshot
007280,摩根日本精选股票(QDII)A,18103.94,1173.94,7.15,alipay_screenshot
021539,华安法国CAC40ETF联接(QDII)A,22716.45,-127.55,-0.56,alipay_screenshot
164824,工银瑞信印度市场(QDII-LOF-FOF),26923.92,-1663.08,-5.82,alipay_screenshot
000216,华安黄金ETF联接A,49782.36,-26.38,-0.05,alipay_screenshot
015822,易方达中证同业存单AAA指数7天持有期,50041.63,41.63,0.08,alipay_screenshot
